Class,IS for normalization (main) POS,IS for normalization (option 1) POS,IS for normalization (option 2) POS,IS for normalization (option 3) POS,IS for normalization (option 4) POS,IS for normalization (main) NEG,IS for normalization (option 1) NEG,IS for normalization (option 2) NEG,IS for normalization (option 3) NEG
PI-Cer,[D7]PG 15:0_18:1,[D9]SM 18:1;O2/16:0,[D9]Cer 18:0;O2/16:0,[D7]PC 15:0_18:1,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]SM 18:1;O2/16:0,[D9]Cer 18:0;O2/16:0,[D7]PC 15:0_18:1
PIM,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1
PIP,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1
PK,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]DG 16:0_16:0,[D9]PE 16:0_16:0,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]DG 16:0_16:0,[D9]PE 16:0_16:0
PnC,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D7]LPC 18:1
PnE,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPC 18:1,[D9]LPE 16:0,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D7]LPC 18:1
PPA,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1
PR,[D9]DG 16:0_16:0,[D7]PG 15:0_18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D9]DG 16:0_16:0,[D7]PG 15:0_18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1
PS,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1
PS-Nac,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1
SCer,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
SHexCer,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
